class,ap,precision,recall,n_positive,scientific_name,common_name,class_name
shtnig1,,,,0,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves
sibtan2,,,,0,Ramphocelus carbo,Silver-beaked Tanager,Aves
smbani,,,,0,Crotophaga ani,Smooth-billed Ani,Aves
smbtin1,,,,0,Crypturellus parvirostris,Small-billed Tinamou,Aves
sobcac1,,,,0,Cacicus solitarius,Solitary Cacique,Aves
sobtyr1,,,,0,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves
socfly1,,,,0,Myiozetetes similis,Social Flycatcher,Aves
sofspi1,,,,0,Synallaxis frontalis,Sooty-fronted Spinetail,Aves
souant1,,,,0,Corythopis delalandi,Southern Antpipit,Aves
soulap1,,,,0,Vanellus chilensis,Southern Lapwing,Aves
souscr1,,,,0,Chauna torquata,Southern Screamer,Aves
spbant3,,,,0,Hypoedaleus guttatus,Spot-backed Antshrike,Aves
spispi1,,,,0,Synallaxis spixi,Spix's Spinetail,Aves
sptnig1,,,,0,Antiurus maculicaudus,Spot-tailed Nightjar,Aves
squcuc1,,,,0,Piaya cayana,Common Squirrel-Cuckoo,Aves
stbwoo2,,,,0,Dendroplex picus,Straight-billed Woodcreeper,Aves
strcuc1,,,,0,Tapera naevia,Striped Cuckoo,Aves
strher2,,,,0,Butorides striata,Striated Heron,Aves
strowl1,,,,0,Asio clamator,Striped Owl,Aves
swthum1,,,,0,Eupetomena macroura,Swallow-tailed Hummingbird,Aves
swtman1,,,,0,Chiroxiphia caudata,Swallow-tailed Manakin,Aves
tattin1,,,,0,Crypturellus tataupa,Tataupa Tinamou,Aves
thlwre1,,,,0,Campylorhynchus turdinus,Thrush-like Wren,Aves
toctou1,,,,0,Ramphastos toco,Toco Toucan,Aves
trokin,,,,0,Tyrannus melancholicus,Tropical Kingbird,Aves
trsowl,,,,0,Megascops choliba,Tropical Screech Owl,Aves
undtin1,1.0,1.0,0.9375,32,Crypturellus undulatus,Undulated Tinamou,Aves
varant1,,,,0,Thamnophilus caerulescens,Variable Antshrike,Aves
watjac1,,,,0,Jacana jacana,Wattled Jacana,Aves
wesfie1,,,,0,Pyriglena maura,Western Fire-eye,Aves
wfwduc1,,,,0,Dendrocygna viduata,White-faced Whistling Duck,Aves
whbant2,,,,0,Biatas nigropectus,White-bearded Antshrike,Aves
whbwar2,,,,0,Myiothlypis leucoblephara,White-browed Warbler,Aves
whiwoo1,,,,0,Melanerpes candidus,White Woodpecker,Aves
whlspi1,,,,0,Synallaxis albilora,White-lored Spinetail,Aves
whnjay1,,,,0,Cyanocorax cyanopogon,White-naped Jay,Aves
whtdov,0.9999999999999999,1.0,0.9583333333333334,48,Leptotila verreauxi,White-tipped Dove,Aves
whwpic1,,,,0,Picumnus albosquamatus,White-wedged Piculet,Aves
y00678,,,,0,Caracara plancus,Crested Caracara,Aves
yebcar,,,,0,Paroaria capitata,Yellow-billed Cardinal,Aves
yebela1,,,,0,Elaenia flavogaster,Yellow-bellied Elaenia,Aves
yecmac,,,,0,Primolius auricollis,Golden-collared Macaw,Aves
yecpar,,,,0,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves
yehcar1,,,,0,Daptrius chimachima,Yellow-headed Caracara,Aves
yeofly1,,,,0,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves
